City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
558,petauke,ZM,64.09,overcast clouds,-14.2426,31.3253,Kwamwanja Wanthu
559,puerto ayacucho,VE,76.37,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
560,vilhena,BR,68.5,scattered clouds,-12.7406,-60.1458,Hotel Mirage
562,sulangan,PH,80.98,light rain,11.1373,123.7228,Maia's Beach Resort
563,hailar,CN,15.35,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
564,mangrol,IN,75.72,clear sky,21.1167,70.1167,Hotel The Royal Honours
566,ornskoldsvik,SE,8.42,overcast clouds,63.2909,18.7153,ファーストホテル スタット
567,soe,ID,69.01,overcast clouds,-9.8607,124.284,Dena Hotel
572,akureyri,IS,8.53,clear sky,65.6835,-18.0878,Icelandair Hotel Akureyri
591,palauig,PH,84.96,clear sky,15.435,119.9045,Alperi Botique Resort
593,antalaha,MG,77.5,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
